rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Conjunction	и	Мир изменяется основательным образом	я беспокоюсь , что инвесторы не уделяют достаточного внимания некоторым крупнейшим двигателям перемен , особенно , когда речь идёт об устойчивости развития
Explicit	Expansion.Level-of-detail.Arg2-as-detail	особенно	инвесторы не уделяют достаточного внимания некоторым крупнейшим двигателям перемен	когда речь идёт об устойчивости развития
Explicit	Temporal.Synchronous	когда	инвесторы не уделяют достаточного внимания некоторым крупнейшим двигателям перемен	речь идёт об устойчивости развития
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Мир изменяется основательным образом , и я беспокоюсь , что инвесторы не уделяют достаточного внимания некоторым крупнейшим двигателям перемен , особенно , когда речь идёт об устойчивости развития	Под устойчивостью я понимаю такие по-настоящему пикантные моменты , как экологические и социальные проблемы и корпоративное управление
Implicit	Expansion.Conjunction	and	Под устойчивостью я понимаю такие по-настоящему пикантные моменты , как экологические и социальные проблемы и корпоративное управление	Я считаю безответственным игнорировать эти вещи , ведь подобным образом можно подвергнуть опасности будущие доходы в долгосрочной перспективе
Explicit	Contingency.Cause.Reason	ведь	Я считаю безответственным игнорировать эти вещи	подобным образом можно подвергнуть опасности будущие доходы в долгосрочной перспективе
Implicit	Comparison.Concession.Arg2-as-denier	but	Я считаю безответственным игнорировать эти вещи , ведь подобным образом можно подвергнуть опасности будущие доходы в долгосрочной перспективе	Вот что может вас удивить : баланс власти , которая действительно может повлиять на устойчивость развития , сохраняется за институциональными инвесторами — крупными инвесторами , такими как пенсионные фонды , учреждения и благотворительные фонды
Implicit	Expansion.Conjunction	and	Вот что может вас удивить : баланс власти , которая действительно может повлиять на устойчивость развития , сохраняется за институциональными инвесторами — крупными инвесторами , такими как пенсионные фонды , учреждения и благотворительные фонды	Я верю , что инвестирование с расчётом на устойчивость гораздо проще , чем думается , более эффективно , чем кажется , и важнее , чем можно себе представить
Implicit	Expansion.Conjunction	and	Я верю , что инвестирование с расчётом на устойчивость гораздо проще , чем думается , более эффективно , чем кажется , и важнее , чем можно себе представить	Позвольте напомнить о том , что мы уже знаем
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Позвольте напомнить о том , что мы уже знаем	Население нашей планеты одновременно увеличивается и стареет
Implicit	Expansion.Conjunction	and	Население нашей планеты одновременно увеличивается и стареет	На данный момент нас 7 миллиардов человек , намеренных стать 10 миллиардами к концу века
Implicit	Expansion.Conjunction	and	На данный момент нас 7 миллиардов человек , намеренных стать 10 миллиардами к концу века	Мы потребляем природные ресурсы быстрее , чем они могут быть пополнены ; а загрязнение окружающей среды , в основном ответственное за изменение климата , продолжает расти
Explicit	Expansion.Conjunction	а	Мы потребляем природные ресурсы быстрее , чем они могут быть пополнены	загрязнение окружающей среды , в основном ответственное за изменение климата , продолжает расти
Implicit	Contingency.Cause.Result	so	Мы потребляем природные ресурсы быстрее , чем они могут быть пополнены ; а загрязнение окружающей среды , в основном ответственное за изменение климата , продолжает расти	Понятно , существуют экологические и социальные проблемы , но это ещё не всё
Explicit	Comparison.Concession.Arg2-as-denier	но	существуют экологические и социальные проблемы	это ещё не всё
Explicit	Expansion.Conjunction	также	Понятно , существуют экологические и социальные проблемы , но это ещё не всё	
Implicit	Expansion.Conjunction	and	Они также являются и экономическими проблемами , что делает их относящимися к рискам и доходам	Они по-настоящему сложны и могут казаться весьма далёкими , так что есть соблазн сделать так : спрятать голову в песок и не думать об этом
Explicit	Expansion.Conjunction	и	по-настоящему сложны	могут казаться весьма далёкими
Explicit	Contingency.Cause.Result	так что	Они по-настоящему сложны и могут казаться весьма далёкими	есть соблазн сделать так : спрятать голову в песок и не думать об этом
Explicit	Expansion.Conjunction	и	спрятать голову в песок	не думать об этом
Implicit	Comparison.Concession.Arg2-as-denier	but	спрятать голову в песок и не думать об этом	Сопротивляйтесь , если можете
Explicit	Contingency.Condition.Arg2-as-cond	если	Сопротивляйтесь	можете
Implicit	Expansion.Conjunction	and	Сопротивляйтесь , если можете	Не повторяйте этого дома
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Это заставляет меня сомневаться , соответствуют ли правила инвестирования сегодняшнего дня целям завтрашнего	Известно , что инвесторы , когда оценивают компанию и решают , инвестировать ли в неё или нет , основываются на финансовой информации , таких показателях , как рост продаж , денежный поток , доля рынка , определение ценности — всякие подобные секси штучки
Explicit	Temporal.Synchronous	когда		оценивают компанию и решают , инвестировать ли в неё или нет
Explicit	Expansion.Conjunction	и	оценивают компанию	решают
Explicit	Expansion.Disjunction	или	инвестировать ли в неё	нет
Implicit	Contingency.Cause.Reason	because	Они , конечно , существенны , но недостаточны	Инвесторам стоит также оценивать рабочие характеристики , которые мы называем ЭОУ : экология , общество и управление
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Инвесторам стоит также оценивать рабочие характеристики , которые мы называем ЭОУ : экология , общество и управление	"Экология включает в себя потребление энергии , доступность воды , отходы и загрязнение , просто эффективное использование ресурсов .
Общество включает человеческий капитал , такие вещи , как вовлечение сотрудников и инновационный потенциал , также управление сетями поставок , и трудовые и человеческие права .
Управление относится к контролю компаний их руководством и инвесторами"
