rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	В детстве я часто представляла , что однажды сбегу далеко-далеко	С шести лет я прятала сумку с вещами и банками с едой глубоко в чулане
Implicit	Contingency.Cause.Reason	because	С шести лет я прятала сумку с вещами и банками с едой глубоко в чулане	Глубоко во мне сидело беспокойство , животный страх , что я паду жертвой рутинной и скучной жизни
Explicit	Contingency.Cause.Result	Потому	Глубоко во мне сидело беспокойство , животный страх , что я паду жертвой рутинной и скучной жизни	многие из моих воспоминаний включают замысловатые мечтания о том , как я пересекаю границы , ем ягоды , в качестве пищи , и встречаю всех этих странных людей , ведущих нетрадиционный образ жизни в дороге
Explicit	Expansion.Conjunction	и	ем ягоды , в качестве пищи	встречаю всех этих странных людей
Explicit	Expansion.Conjunction	и	Прошли годы	многие приключения , о которых я фантазировала ребёнком — путешествия и прокладывание пути сквозь миры , отличающиеся от моего — стали реальными , благодаря моей работе фотографа-документалиста
AltLex	Temporal.Asynchronous.Precedence	Прошли годы	Потому многие из моих воспоминаний включают замысловатые мечтания о том , как я пересекаю границы , ем ягоды , в качестве пищи , и встречаю всех этих странных людей , ведущих нетрадиционный образ жизни в дороге	и многие приключения , о которых я фантазировала ребёнком — путешествия и прокладывание пути сквозь миры , отличающиеся от моего — стали реальными , благодаря моей работе фотографа-документалиста
Explicit	Comparison.Concession.Arg2-as-denier	Но	Прошли годы , и многие приключения , о которых я фантазировала ребёнком — путешествия и прокладывание пути сквозь миры , отличающиеся от моего — стали реальными , благодаря моей работе фотографа-документалиста	ничто не чувствовалось столь близким к моим детским мечтам , как документировать жизни и жить среди странников по Соединённым Штатам
Explicit	Comparison.Similarity	как	Но ничто не чувствовалось столь близким к моим детским мечтам	документировать жизни и жить среди странников по Соединённым Штатам
Explicit	Expansion.Conjunction	и	документировать жизни	жить среди странников по Соединённым Штатам
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	как документировать жизни и жить среди странников по Соединённым Штатам	Это « бродячая мечта » — разновидность американской мечты , — которой жили хобо , путешественники , автостопщики , бродяги и бездомные
Implicit	Expansion.Level-of-detail.Arg2-as-detail	speicifically	В уме многих из нас бродяга — существо из прошлого	Слово « хобо » вызывает в воображении старое чёрно-белое изображение повидавшего виды старика , всего в саже , ноги свешаны из вагона
Explicit	Comparison.Contrast	Но	Слово « хобо » вызывает в воображении старое чёрно-белое изображение повидавшего виды старика , всего в саже , ноги свешаны из вагона	вот эти фото в цвете , и они рисуют портрет общества , клубящегося по всей стране , яростно живого и творчески свободного , видевшего стороны Америки , не изведанные другими
Explicit	Expansion.Conjunction	и	вот эти фото в цвете	они рисуют портрет общества , клубящегося по всей стране , яростно живого и творчески свободного , видевшего стороны Америки , не изведанные другими
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Как и их предшественники , современные бродяги странствуют по металлическим и асфальтированным артериям Соединённых Штатов	Днём они запрыгивают в грузовые поезда , голосуют на дороге и едут с любым : от дальнобойщиков до мамаш за рулём
Explicit	Expansion.Conjunction	и	голосуют на дороге	едут с любым
Implicit	Expansion.Conjunction	and	Днём они запрыгивают в грузовые поезда , голосуют на дороге и едут с любым : от дальнобойщиков до мамаш за рулём	Ночью — спят под звёздами в обнимку со стайкой собак , кошек и шмыгающими то там , то тут крысами
Implicit	Comparison.Contrast	and	Некоторые путешественники выбирают дорогу сами , отказываясь от материализма , традиционной работы и университетского образования взамен на проблеск приключений	Другие — выходцы со дна общества без шанса выбиться в люди : детдомовцы , сбежавшие из неблагоприятных семей и от плохого обращения подростки
Explicit	Comparison.Contrast	где	путешественники смотрят на своё существование сквозь призму освобождения и независимости	другие видят истории нужды и экономической неудачи
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Там , где другие видят истории нужды и экономической неудачи , путешественники смотрят на своё существование сквозь призму освобождения и независимости	Они предпочтут жить на излишках того , что считают расточительным потребительским обществом , чем поработиться нереалистичному шансу традиционной американской мечты
Explicit	Expansion.Substitution.Arg2-as-subst	чем	жить на излишках того , что считают расточительным потребительским обществом	поработиться нереалистичному шансу традиционной американской мечты
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Они предпочтут жить на излишках того , что считают расточительным потребительским обществом , чем поработиться нереалистичному шансу традиционной американской мечты	Они пользуются тем , что в США до 40 % еды выбрасывается , питаясь вполне нормальной пищей из мусорных контейнеров и баков
Implicit	Expansion.Conjunction	and	Они пользуются тем , что в США до 40 % еды выбрасывается , питаясь вполне нормальной пищей из мусорных контейнеров и баков	Они жертвуют материальным комфортом взамен на время и пространство для исследований творческой сущности , для мечтаний , чтения , сочинения музыки , занятий искусством и писательством
Explicit	Comparison.Concession.Arg2-as-denier	Однако	Они жертвуют материальным комфортом взамен на время и пространство для исследований творческой сущности , для мечтаний , чтения , сочинения музыки , занятий искусством и писательством	множество аспектов такой жизни далеки от идиллических
Implicit	Contingency.Cause.Reason	because	Однако множество аспектов такой жизни далеки от идиллических	Никто не освобождается от внутренних демонов , просто выбрав жизнь в дороге
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Никто не освобождается от внутренних демонов , просто выбрав жизнь в дороге	Зависимость реальна , стихии реальны , грузовые поезда калечат и убивают , и любой , кто жил на улице , может быть осуждён по исчерпывающему списку законов , вплоть до уголовной ответственности за бездомное существование
Explicit	Expansion.Conjunction	и	калечат	убивают
Explicit	Expansion.Conjunction	и	грузовые поезда калечат и убивают	любой , кто жил на улице , может быть осуждён по исчерпывающему списку законов , вплоть до уголовной ответственности за бездомное существование
Explicit	Hypophora	Кто	из присутствующих в курсе , что в большинстве городов США теперь незаконно сидеть на тротуаре , укутываться в одеяло , спать в собственной машине , предлагать еду незнакомцу	Я знаю об этих законах , потому что видела , как друзей и других путешественников тащили в тюрьму и вызывали в суд за совершение этих , так называемых преступлений
Implicit	Expansion.Instantiation	for instance	любой , кто жил на улице , может быть осуждён по исчерпывающему списку законов , вплоть до уголовной ответственности за бездомное существование	Кто из присутствующих в курсе , что в большинстве городов США теперь незаконно сидеть на тротуаре , укутываться в одеяло , спать в собственной машине , предлагать еду незнакомцу
Explicit	Contingency.Cause+SpeechAct.Reason+SpeechAct	потому что	Я знаю об этих законах	видела , как друзей и других путешественников тащили в тюрьму и вызывали в суд за совершение этих , так называемых преступлений
Explicit	Expansion.Conjunction	и	тащили в тюрьму	вызывали в суд
Explicit	Hypophora	зачем	кому-то выбирать такую жизнь : под каблуком дискриминационных законов , питаясь из мусорки , засыпая под мостом , берясь за временную работу то там , то тут	Ответ на этот вопрос настолько же разнообразен , как и выбравшие жизнь в дороге люди
AltLex	Contingency.Cause.Reason	"Ответ на этот вопрос настолько же разнообразен , как и выбравшие жизнь в дороге люди .
Однако , часто путешественники отвечают одним словом"	Многие из вас могут удивиться , зачем кому-то выбирать такую жизнь : под каблуком дискриминационных законов , питаясь из мусорки , засыпая под мостом , берясь за временную работу то там , то тут	свобода
Explicit	Temporal.Asynchronous.Precedence	Пока	всегда будет подобного рода люди , жаждущих открытых дорог для побега , освобождения и , конечно , бунта	мы не будем жить в обществе , где человек подтверждает своё достоинство трудом , то есть работает , чтобы жить лучше , а не просто работает , чтобы выжить
Explicit	Contingency.Purpose.Arg2-as-goal	чтобы	работает	жить лучше
Explicit	Expansion.Conjunction	а	работает , чтобы жить лучше	не просто работает , чтобы выжить
Explicit	Contingency.Purpose.Arg2-as-goal	чтобы	работает	выжить
