rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Conjunction	и	родился	вырос
Explicit	Comparison.Contrast	Однако	Я родился и вырос в Сьерра-Леоне , в маленьком и очень красивом государстве Восточной Африки , в государстве , богатом природными ресурсами и творческими талантами	Сьерра-Леоне печально известна десятилетней повстанческой войной в 90-е , когда целые деревни были сожжены дотла
Explicit	Temporal.Synchronous	когда	Однако Сьерра-Леоне печально известна десятилетней повстанческой войной в 90-е	целые деревни были сожжены дотла
AltLex	Temporal.Synchronous	в это время	Однако Сьерра-Леоне печально известна десятилетней повстанческой войной в 90-е , когда целые деревни были сожжены дотла	
Explicit	Temporal.Synchronous	когда	Я и моя семья спаслись бегством от одной из атак	мне было 12
Implicit	Contingency.Cause.Reason	so	Я и моя семья спаслись бегством от одной из атак , когда мне было 12	Я решил , что я сделаю всё возможное , чтобы мои дети не прошли через подобный опыт , что был у нас
Explicit	Contingency.Purpose.Arg2-as-goal	чтобы	я сделаю всё возможное	мои дети не прошли через подобный опыт
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Я решил , что я сделаю всё возможное , чтобы мои дети не прошли через подобный опыт , что был у нас	Они будут частью Сьерра-Леоне , где война и ампутация уже не будут методом завоевания власти
Explicit	Temporal.Synchronous	Когда	единственное , что меня волновало , это то , что многие люди с ампутированными конечностями не использовали свои протезы	я наблюдал за людьми
AltLex	Contingency.Cause.Reason	причина была в том , что	Когда я наблюдал за людьми , которых я знаю , люблю , восстанавливающимися после разрушений , единственное , что меня волновало , это то , что многие люди с ампутированными конечностями не использовали свои протезы	их культеприемные гильзы вызывали боль , потому что не подходили по размеру
Explicit	Contingency.Cause.Reason	потому что	причина была в том , что их культеприемные гильзы вызывали боль	не подходили по размеру
Explicit	Contingency.Purpose.Arg2-as-goal	чтобы	Даже в развитом мире требуется от трёх недель до года	пациент привык к гильзе
Explicit	Contingency.Condition.Arg2-as-cond	если	пациент привык к гильзе	он вообще сможет привыкнуть
Implicit	Contingency.Cause.Reason	because	Даже в развитом мире требуется от трёх недель до года , чтобы пациент привык к гильзе , если он вообще сможет привыкнуть	Протезисты до сих пор используют традиционные методы , такие как литьё и гипсование , чтобы создать однокомпонентные культеприемные гильзы
Explicit	Contingency.Purpose.Arg2-as-goal	чтобы	Протезисты до сих пор используют традиционные методы , такие как литьё и гипсование	создать однокомпонентные культеприемные гильзы
