rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	and	Im All wimmelt es von Planeten	Ich will , dass wir in nur einem Jahrzehnt ein Weltraumteleskop bauen , das das Bild einer Erde im Orbit eines anderen Sterns erfassen und herausfinden kann , ob es dort Leben geben könnte
Explicit	Expansion.Conjunction	und	das Bild einer Erde im Orbit eines anderen Sterns erfassen	herausfinden
Implicit	Contingency.Cause.Result	that is why	Ich will , dass wir in nur einem Jahrzehnt ein Weltraumteleskop bauen , das das Bild einer Erde im Orbit eines anderen Sterns erfassen und herausfinden kann , ob es dort Leben geben könnte	Meine Kollegen im NASA Jet Propulsion Laboratory in Princeton und ich arbeiten an einer Technologie , die in einigen Jahren genau dazu in der Lage sein wird
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Astronomen glauben heute , dass jeder Stern in der Galaxis einen Planeten hat	Sie schätzen , dass bis zu ein Fünftel davon einen erdähnlichen Planeten hat , auf dem Leben möglich wäre
Explicit	Comparison.Concession.Arg2-as-denier	aber	Sie schätzen , dass bis zu ein Fünftel davon einen erdähnlichen Planeten hat , auf dem Leben möglich wäre	
Explicit	Temporal.Synchronous	als	Aufgenommen wurde es 1990 von der Raumsonde Voyager	man sie beim Verlassen des Sonnensystems drehte , um aus einer Entfernung von 6 Mrd. km eine Foto von der Erde zu machen
Explicit	Contingency.Purpose.Arg2-as-goal	um	man sie beim Verlassen des Sonnensystems drehte	aus einer Entfernung von 6 Mrd. km eine Foto von der Erde zu machen
Implicit	Comparison.Concession.Arg2-as-denier	but	So ein Bild möchte ich von einem erdähnlichen Planeten eines anderen Sterns machen	Warum gibt es das noch nicht
Explicit	Hypophora	Warum	ist das schwer	"Stellen Sie sich vor , wir nähmen das Hubble Weltraumteleskop , drehten es um und setzten es in eine Umlaufbahn um den Mars .
Wir würden vermutlich ein leicht unscharfes Bild der Erde sehen , weil wir ein recht kleines Teleskop in der Umlaufbahn des Mars sind .
Nun gehen wir auf die 10-fache Distanz .
Hier sind wir in der Umlaufbahn des Uranus .
Das Bild ist kleiner , weniger detailliert , gröber .
Man sieht den kleinen Mond noch .
Gehen wir wieder 10-mal so weit weg !
Hier sind wir am Rand des Sonnensystems , im Kuipergürtel .
Es gibt gar keine Auflösung mehr .
Die Erde ist nun Carl Sagans blass-blauer Punkt .
Wir entfernen uns wieder um das 10-Fache .
Nun sind wir in der Oort ' schen Wolke außerhalb des Sonnensystems , und wir sehen , wie die Sonne langsam in unser Sichtfeld rückt , wo sich der Planet befindet .
Und wieder 10-mal weiter weg .
Nun sind wir bei Alpha Centauri , unserem nächsten Nachbarstern , und der Planet ist weg .
Alles , was wir sehen , ist das große strahlende Bild des Sterns , der 10-Mrd.-mal heller leuchtet als der Planet , der in dem kleinen roten Kreis sein sollte .
Das wollen wir sehen"
Implicit	Expansion.Conjunction	and	Warum gibt es das noch nicht	Warum ist das schwer
