rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Als kleines Mädchen stellte ich mir vor , dass ich eines Tages von Zuhause weglaufe	Seit dem sechsten Lebensjahr bewahrte ich eine Tasche mit Kleidung und Konservendosen in meinem Wandschrank auf
Implicit	Contingency.Cause.Reason	because	Seit dem sechsten Lebensjahr bewahrte ich eine Tasche mit Kleidung und Konservendosen in meinem Wandschrank auf	In mir war eine tiefe Unruhe , eine Angst , Opfer zu werden , von einem Leben voller Routine und Langeweile
Implicit	Expansion.Conjunction	and	In mir war eine tiefe Unruhe , eine Angst , Opfer zu werden , von einem Leben voller Routine und Langeweile	Viele meiner frühkindlichen Erinnerungen beinhalteten komplizierte Wachträume , in denen ich Grenzen überschritt , Beeren sammelte und allerlei seltsame Leute traf , die unkonventionelle Leben auf der Straße führten
Explicit	Comparison.Concession.Arg2-as-denier	aber	Die Jahre sind vergangen	viele meiner Abenteuer , von denen ich als Kind fantasierte -- zu reisen ; meinen Weg zu erfinden zwischen Welten , anders als der meinen -- wurden durch meine Arbeit als Dokumentarfotografin Wirklichkeit
AltLex	Temporal.Asynchronous.Precedence	Die Jahre sind vergangen	Viele meiner frühkindlichen Erinnerungen beinhalteten komplizierte Wachträume , in denen ich Grenzen überschritt , Beeren sammelte und allerlei seltsame Leute traf , die unkonventionelle Leben auf der Straße führten	aber viele meiner Abenteuer , von denen ich als Kind fantasierte -- zu reisen ; meinen Weg zu erfinden zwischen Welten , anders als der meinen -- wurden durch meine Arbeit als Dokumentarfotografin Wirklichkeit
Explicit	Comparison.Concession.Arg2-as-denier	Aber	Die Jahre sind vergangen , aber viele meiner Abenteuer , von denen ich als Kind fantasierte -- zu reisen ; meinen Weg zu erfinden zwischen Welten , anders als der meinen -- wurden durch meine Arbeit als Dokumentarfotografin Wirklichkeit	keine andere Erfahrung kam meinen Kindheitsfantasien so nah , wie die , wie andere Herumtreiber zu leben und ihr Leben überall in den USA zu dokumentieren
Explicit	Expansion.Conjunction	und	wie andere Herumtreiber zu leben	ihr Leben überall in den USA zu dokumentieren
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	In den meisten Köpfen ist der Vagabund Teil der Vergangenheit	"Das Wort "" Landstreicher "" erinnert an ein Schwarz-Weiß-Foto eines dem Wetter ausgesetzten , verrußten Mannes , der seine Beine aus einem Waggon baumeln lässt"
Explicit	Comparison.Contrast	Aber	"Das Wort "" Landstreicher "" erinnert an ein Schwarz-Weiß-Foto eines dem Wetter ausgesetzten , verrußten Mannes , der seine Beine aus einem Waggon baumeln lässt"	diese Fotos sind in Farbe : Sie porträtieren eine Gemeinschaft , die im Land herumwirbelt , heftig lebendig und schöpferisch frei
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Aber diese Fotos sind in Farbe : Sie porträtieren eine Gemeinschaft , die im Land herumwirbelt , heftig lebendig und schöpferisch frei	Sie sehen das Amerika , das sonst niemand zu sehen bekommt
Implicit	Expansion.Conjunction	and	Wie ihre Vorgänger bereisen die heutigen Nomaden die Hauptverkehrsadern der Vereinigten Staaten aus Stahl und Asphalt	Am Tag springen sie auf Güterzüge oder strecken den Daumen raus , und fahren auf der Autobahn mit jedem mit , egal ob Lkw-Fahrer oder nicht berufstätige Mütter
Explicit	Expansion.Disjunction	oder		strecken den Daumen raus
Explicit	Expansion.Conjunction	und		fahren auf der Autobahn mit jedem mit
Implicit	Expansion.Conjunction	and	Am Tag springen sie auf Güterzüge oder strecken den Daumen raus , und fahren auf der Autobahn mit jedem mit , egal ob Lkw-Fahrer oder nicht berufstätige Mütter	Nachts schlafen sie unter den Sternen , gekauert an ihr Rudel aus Hunden , Katzen und Haustierratten zwischen ihren Körpern
Implicit	Expansion.Conjunction	and	Manche Reisende haben sich dieses Leben ausgesucht , verzichten auf Materielles , herkömmliche Arbeit und Uni-Abschlüsse im Tausch gegen einen Hauch von Abenteuer	Andere kommen von der Schattenseite der Gesellschaft ; sie bekamen sie nie , die Chance zum sozialen Aufstieg : Ausbrecher aus Pflegefamilien , jugendliche Ausreißer auf der Flucht vor Missbrauch und unversöhnlichen Elternhäusern
Implicit	Contingency.Cause.Reason	because	Was andere als Geschichten von Entbehrung und wirtschaftlichem Versagen ansehen , betrachten die Reisenden durch das Prisma der Befreiung und Freiheit	"Lieber zehren sie vom Überfluss einer -- aus ihrer Sicht -- verschwenderischen Konsumgesellschaft , als sich mit einer unrealistischen Chance auf den herkömmlichen "" American Dream "" abzurackern"
Implicit	Expansion.Conjunction	and	"Lieber zehren sie vom Überfluss einer -- aus ihrer Sicht -- verschwenderischen Konsumgesellschaft , als sich mit einer unrealistischen Chance auf den herkömmlichen "" American Dream "" abzurackern"	Sie nutzen die Tatsache aus , dass in den USA bis zu 40 % der Lebensmittel im Abfall landen , in dem sie nach einwandfreien Nahrungsmitteln in Containern und Abfalleimern suchen
Explicit	Comparison.Concession.Arg2-as-denier	Aber	Sie opfern materiellen Komfort im Austausch gegen den Raum und die Zeit , ihr kreatives Inneres zu entdecken , um zu träumen , zu lesen , Musik zu machen , Kunst zu erschaffen und zu schreiben	es gibt viele Aspekte an dieser Art zu leben , die alles andere als idyllisch sind
Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	because	Aber es gibt viele Aspekte an dieser Art zu leben , die alles andere als idyllisch sind	Niemand verliert seine inneren Dämonen , indem er auf der Straße lebt
Explicit	Expansion.Manner.Arg2-as-manner	indem	Niemand verliert seine inneren Dämonen	er auf der Straße lebt
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	Niemand verliert seine inneren Dämonen , indem er auf der Straße lebt	Drogensucht und extremes Wetter gehören zur Wirklichkeit , Güterzüge verstümmeln oder töten , und wer auf der Straße gelebt hat , kann ein Zeugnis von der Unmenge an Gesetzen ablegen , wodurch sich Obdachlose strafbar machen
Explicit	Expansion.Conjunction	und	Drogensucht und extremes Wetter gehören zur Wirklichkeit , Güterzüge verstümmeln oder töten	wer auf der Straße gelebt hat , kann ein Zeugnis von der Unmenge an Gesetzen ablegen , wodurch sich Obdachlose strafbar machen
Implicit	Expansion.Instantiation	for instance	Drogensucht und extremes Wetter gehören zur Wirklichkeit , Güterzüge verstümmeln oder töten , und wer auf der Straße gelebt hat , kann ein Zeugnis von der Unmenge an Gesetzen ablegen , wodurch sich Obdachlose strafbar machen	Wussten Sie , dass es in vielen Städten der USA nun illegal ist , auf dem Bordstein zu sitzen , sich in eine Decke zu wickeln , im eigenen Auto zu übernachten , einem Fremden Essen anzubieten
Explicit	Contingency.Cause.Reason	weil	Ich kenne diese Gesetze	"ich sah , wie Freunde und andere Herumreisende ins Gefängnis geschleppt oder vorgeladen wurden , weil sie diese sogenannten "" Verbrechen "" begangen hatten"
Explicit	Contingency.Cause.Reason	weil	Freunde und andere Herumreisende ins Gefängnis geschleppt oder vorgeladen wurden	"sie diese sogenannten "" Verbrechen "" begangen hatten"
Explicit	Comparison.Concession.Arg2-as-denier	aber	Darauf gibt es so viele Antworten wie Menschen , die dieses Leben führen	Herumreisende antworten oft mit einem Wort : Freiheit
AltLex	Contingency.Cause.Reason	Darauf gibt es so viele Antworten wie Menschen , die dieses Leben führen , aber Herumreisende antworten oft mit einem Wort	Vielleicht fragen Sie sich , wieso jemand ein Leben wie dieses wählt , unter der Fuchtel diskriminierender Gesetze , aus Mülltonnen zu essen , unter Brücken zu schlafen , hier und da Saisonjobs anzunehmen	Freiheit
Implicit	Contingency.Cause.Result	so	Darauf gibt es so viele Antworten wie Menschen , die dieses Leben führen , aber Herumreisende antworten oft mit einem Wort : Freiheit	"Bis wir in einer Gesellschaft leben , wo jedem Menschen seine Würde bei der Arbeit garantiert wird , sodass sie arbeiten , um gut zu leben , und nicht nur um zu überleben , wird es immer auch jene geben , die die "" offene Straße "" aufsuchen : als Mittel zur Flucht , zur Befreiung und selbstverständlich zur Rebellion"
Explicit	Contingency.Purpose.Arg2-as-goal	um	sie arbeiten	gut zu leben
Explicit	Expansion.Conjunction	und	um gut zu leben	nicht nur um zu überleben
