rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Contingency.Cause.Reason	because	Ich sehe es als besonderes Glück , dass ich in meinem ersten Job am Museum für Moderne Kunst an einer Retrospektive der Malerin Elizabeth Murray arbeiten durfte	Ich lernte so viel von ihr
Explicit	Temporal.Asynchronous.Succession	Nachdem	der Kurator Robert Storr all die Gemälde aus ihrem lebenslangen Schaffen ausgewählt hatte	betrachtete ich liebend gerne die Gemälde aus den 1970ern
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	Nachdem der Kurator Robert Storr all die Gemälde aus ihrem lebenslangen Schaffen ausgewählt hatte , betrachtete ich liebend gerne die Gemälde aus den 1970ern	Da gab es einige Motive und Elemente , die sich später in ihrem Leben wiederholten
Implicit	Expansion.Conjunction	and	Da gab es einige Motive und Elemente , die sich später in ihrem Leben wiederholten	Ich erinnere mich , dass ich sie danach fragte , was sie von diesen frühen Arbeiten hielt
Explicit	Contingency.Condition.Arg2-as-cond	Wenn	man nicht wusste , dass sie von ihr waren	hätte man es vielleicht nicht erraten
Implicit	Contingency.Cause.Reason	because	Ich erinnere mich , dass ich sie danach fragte , was sie von diesen frühen Arbeiten hielt	Wenn man nicht wusste , dass sie von ihr waren , hätte man es vielleicht nicht erraten
Implicit	Expansion.Conjunction	and	Wenn man nicht wusste , dass sie von ihr waren , hätte man es vielleicht nicht erraten	Sie sagte mir , dass einige nicht dem entsprachen , was sie sich vorgestellt hatte
Implicit	Expansion.Instantiation	for example	dass einige nicht dem entsprachen , was sie sich vorgestellt hatte	Eine der Arbeiten traf faktisch so wenig ins Schwarze , dass sie sie zum Abfall in ihrem Studio stellte , und ihre Nachbarin die Arbeit nahm , weil sie ihren Wert erkannte
Explicit	Expansion.Conjunction	und	Eine der Arbeiten traf faktisch so wenig ins Schwarze , dass sie sie zum Abfall in ihrem Studio stellte	ihre Nachbarin die Arbeit nahm , weil sie ihren Wert erkannte
Explicit	Contingency.Cause.Reason	weil	ihre Nachbarin die Arbeit nahm	sie ihren Wert erkannte
Implicit	Contingency.Cause.Result	as a result	Eine der Arbeiten traf faktisch so wenig ins Schwarze , dass sie sie zum Abfall in ihrem Studio stellte , und ihre Nachbarin die Arbeit nahm , weil sie ihren Wert erkannte	In diesem Augenblick änderte sich meine Sicht auf Erfolg und Kreativität
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in particular	In diesem Augenblick änderte sich meine Sicht auf Erfolg und Kreativität	Ich erkannte , dass Erfolg nur ein Augenblick ist
Explicit	Comparison.Concession.Arg2-as-denier	aber	Ich erkannte , dass Erfolg nur ein Augenblick ist	
Explicit	Comparison.Concession.Arg2-as-denier	Aber	Was wir aber immer würdigen , ist Kreativität und Meisterschaft	hier ist die Frage : Was verleitet uns dazu , Erfolg in Meisterschaft zu wandeln
Explicit	Contingency.Condition.Arg2-as-cond	wenn	sie entsteht	wir das Geschenk eines Beinahe-Erfolgs schätzen lernen
