rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Contingency.Cause.Reason	için	kendimi çok şanslı hissediyorum	İlk işim Modern Sanat Müzesi'nde ressam Elizabeth Murray'in retrospektifinde çalışmak olduğu
Implicit	Contingency.Cause.Reason	çünkü	İlk işim Modern Sanat Müzesi'nde ressam Elizabeth Murray'in retrospektifinde çalışmak olduğu için kendimi çok şanslı hissediyorum	Ondan çok fazla şey öğrendim
Explicit	Temporal.Asynchronous.Succession	sonra	1970'lerdeki resimlere bakmaya bayıldım	Küratör Robert Storr hayat boyu ürettiği işler içinden bütün tabloları seçtikten
Implicit	Contingency.Cause.Reason	ve	1970'lerdeki resimlere bakmaya bayıldım	İleride hayatında tekrar ortaya çıkacak olan bazı motifler ve öğeler vardı
Implicit	Expansion	öyle ki	Ona ilk çalışmaları hakkında ne düşündüğünü sorduğumu hatırlıyorum	Ona ait olduğunu bilmeseniz, bunu tahmin edemezdiniz
Explicit	Contingency.Condition.Arg2-as-cond	bilmeseniz	bunu tahmin edemezdiniz	Ona ait olduğunu bilmeseniz
Explicit	Expansion.Instantiation	Aslında	Bana birkaçının olmasını istediği gibi kendi ölçülerine ulaşamadığını belirtti	biri kendi standartlarına öylesine ulaşmamıştı ki, onu stüdyosunda çöpe atmıştı
Explicit	Expansion.Conjunction	ve	onu stüdyosunda çöpe atmıştı	komşusu da değerini anladığı için onu almıştı
Explicit	Contingency.Cause.Reason	için		değerini anladığı
AltLex	Temporal.Synchronous	O anda	Aslında biri kendi standartlarına öylesine ulaşmamıştı ki, onu stüdyosunda çöpe atmıştı ve komşusu da değerini anladığı için onu almıştı	başarı ve yaratıcılık hakkındaki görüşüm değişti
Implicit	Expansion.Level-of-detail.Arg2-as-detail	bilhassa	başarı ve yaratıcılık hakkındaki görüşüm değişti	Başarının bir an olduğunu, ancak her zaman göklere çıkardığımız şeyin yaratıcılık ve ustalık olduğunu anladım
Explicit	Comparison.Concession.Arg2-as-denier	ancak	Başarının bir an olduğunu	her zaman göklere çıkardığımız şeyin yaratıcılık ve ustalık olduğunu
Explicit	Comparison.Concession.Arg2-as-denier	Ama	Başarının bir an olduğunu, ancak her zaman göklere çıkardığımız şeyin yaratıcılık ve ustalık olduğunu anladım	işte olay şu
AltLex	Hypophora	ne	Uzun zamandır kendi kendime sorduğum bir soru bu. Bence başarıya yaklaşma lütfuna değer vermeye başladığımızda ortaya çıkıyor	Başarıyı ustalığa dönüştürmemizi sağlayan şey ne
