rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Q/A	NONE	Peki bu nasıl oluyor	
Implicit	Expansion.Conjunction	ve	Evren gezegenlerle dolu	Önümüzdeki 10 yıl içinde, bir başka yıldızın yakınındaki bir Dünya'yı fotoğraflayıp, orada hayat olup olmadığını ortaya çıkarabilecek bir teleskop icat etmemizi istiyorum
Explicit	Expansion.Conjunction	fotoğraflayıp	orada hayat olup olmadığını ortaya çıkarabilecek	bir başka yıldızın yakınındaki bir Dünya'yı fotoğraflayıp
Implicit	Expansion.Level-of-detail.Arg2-as-detail	aslında	Önümüzdeki 10 yıl içinde, bir başka yıldızın yakınındaki bir Dünya'yı fotoğraflayıp, orada hayat olup olmadığını ortaya çıkarabilecek bir teleskop icat etmemizi istiyorum	Princeton'daki NASA Jet Propulsion laboratuvarındaki meslektaşlarım ve ben önümüzdeki birkaç sene içinde bunu yapabilecek bir teknoloji üzerinde çalışıyoruz
Implicit	Expansion.Level-of-detail.Arg2-as-detail	hatta	Astronomlar artık gökadadaki her yıldızın bir gezegeni olduğunu düşünüyorlar	Bunların beşte birinin Dünya benzeri bir gezegene sahip olduklarını, yaşam barındırıyor olabileceklerini tahmin ediyorlar
Explicit	Comparison.Concession.Arg2-as-denier	Ama	Bunların beşte birinin Dünya benzeri bir gezegene sahip olduklarını, yaşam barındırıyor olabileceklerini tahmin ediyorlar	bunlardan hiçbirini görmüş değiliz
Implicit	Expansion.Substitution.Arg2-as-subst	ama	bunlardan hiçbirini görmüş değiliz	Onları sadece dolaylı yollardan saptadık
Implicit	Expansion.Level-of-detail.Arg2-as-detail	şöyle ki	Voyager uzay aracı tarafından 1990'da çekildi	Araç güneş sisteminden çıkmak üzereyken, onu bu tarafa çevirip, 6 milyar kilometre öteden Dünya'nın fotoğrafını çektirdiler
Explicit	Temporal.Synchronous	üzereyken	onu bu tarafa çevirip	Araç güneş sisteminden çıkmak üzereyken
Explicit	Temporal.Synchronous	çevirip	6 milyar kilometre öteden Dünya'nın fotoğrafını çektirdiler	bu tarafa çevirip
Implicit	Comparison.Similarity	aynı şekilde	Araç güneş sisteminden çıkmak üzereyken, onu bu tarafa çevirip, 6 milyar kilometre öteden Dünya'nın fotoğrafını çektirdiler	Bir başka yıldızın etrafındaki Dünya benzeri bir gezegenin böyle bir fotoğrafını çekmek istiyorum
