rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	and	As a little girl, I always imagined I would one day run away	From the age of six on, I kept a packed bag with some clothes and cans of food tucked away in the back of a closet
Implicit	Contingency.Cause.Reason	because	I kept a packed bag with some clothes and cans of food tucked away in the back of a closet	There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom
Explicit	Expansion.Conjunction	And	There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom	many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road
Explicit	Contingency.Cause.Result	so	There was a deep restlessness in me, a primal fear that I would fall prey to a life of routine and boredom	
Explicit	Expansion.Conjunction	and	forage for berries	meet all kinds of strange people living unconventional lives on the road
Explicit	Comparison.Concession.Arg2-as-denier	but	Years have passed	many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer
AltLex	Temporal.Asynchronous.Precedence	Years have passed	many of my early memories involved intricate daydreams where I would walk across borders, forage for berries, and meet all kinds of strange people living unconventional lives on the road	many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer
Explicit	Expansion.Conjunction	and	traveling	weaving my way between worlds other than my own
Explicit	Expansion.Manner.Arg2-as-manner	through	have become realities	my work as a documentary photographer
Explicit	Comparison.Concession.Arg2-as-denier	But	many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer	no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States
Explicit	Comparison.Similarity	as	no other experience has felt as true to my childhood dreams	living amongst and documenting the lives of fellow wanderers across the United States
Explicit	Expansion.Conjunction	and	living amongst	documenting the lives of fellow wanderers across the United States
Implicit	Expansion.Level-of-detail.Arg2-as-detail	in fact	the vagabond is a creature from the past	"The word ""hobo"" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar"
Explicit	Comparison.Contrast	but	"The word ""hobo"" conjures up an old black and white image of a weathered old man covered in coal, legs dangling out of a boxcar"	these photographs are in color, and they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see
Explicit	Expansion.Conjunction	and	these photographs are in color	they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see
Implicit	Expansion.Conjunction	and	they portray a community swirling across the country, fiercely alive and creatively free, seeing sides of America that no one else gets to see	Like their predecessors, today's nomads travel the steel and asphalt arteries of the United States
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	today's nomads travel the steel and asphalt arteries of the United States	By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms
Explicit	Expansion.Conjunction	and	stick out their thumbs	ride the highways with anyone from truckers to soccer moms
Implicit	Expansion.Conjunction	and	By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms	By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies
Implicit	Comparison.Contrast	whereas	Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure	Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes
Explicit	Comparison.Contrast	Where	travelers view their own existence through the prism of liberation and freedom	others see stories of privation and economic failure
