rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Contingency.Cause.Reason	porque	Senti -me muito feliz	o meu primeiro trabalho foi trabalhar no Museu de Arte Moderna em_ uma retrospetiva de_ a pintora Elizabeth Murray
Implicit	Expansion.Conjunction	e	o meu primeiro trabalho foi trabalhar no Museu de Arte Moderna em_ uma retrospetiva de_ a pintora Elizabeth Murray	Aprendi muito com ela
Explicit	Temporal.Asynchronous.Succession	Depois de	eu adorava olhar para as pinturas de_ os anos 70	o curador Robert Storr ter escolhido todos os quadros entre o conjunto de obras de_ a vida de_ ela
Implicit	Expansion.Level-of-detail.Arg2-as-detail	de facto	Aprendi muito com ela	Depois de o curador Robert Storr ter escolhido todos os quadros entre o conjunto de obras de_ a vida de_ ela , eu adorava olhar para as pinturas de_ os anos 70
Implicit	Expansion.Conjunction	e	Havia alguns motivos e elementos que viriam a aparecer posteriormente na sua vida	Lembro -me de lhe ter perguntado o que ela pensava de_ essas primeiras obras
Explicit	Contingency.Condition.Arg2-as-cond	Se	talvez não adivinhássemos	não soubéssemos que eram de_ ela
Implicit	Expansion.Level-of-detail.Arg2-as-detail	de facto	Lembro -me de lhe ter perguntado o que ela pensava de_ essas primeiras obras	Se não soubéssemos que eram de_ ela , talvez não adivinhássemos
Implicit	Expansion.Conjunction	e	Lembro -me de lhe ter perguntado o que ela pensava de_ essas primeiras obras	Ela disse -me que algumas de_ elas não correspondiam à sua marca , às suas expectativas
Explicit	Expansion.Instantiation	Na verdade	que algumas de_ elas não correspondiam à sua marca , às suas expectativas	uma de_ as obras de tal modo não correspondia à sua marca , que ela tinha -a posto no lixo no seu estúdio
Explicit	Expansion.Conjunction	e	ela tinha -a posto no lixo no seu estúdio	a vizinha tinha -a levado
Implicit	Temporal.Asynchronous.Precedence	depois	ela tinha -a posto no lixo no seu estúdio	e a vizinha tinha -a levado
Explicit	Contingency.Cause.Reason	porque	a vizinha tinha -a levado	reconhecera o seu valor
AltLex	Temporal.Asynchronous.Precedence	em_ esse momento	Ela disse -me que algumas de_ elas não correspondiam à sua marca , às suas expectativas . Na verdade , uma de_ as obras de tal modo não correspondia à sua marca , que ela tinha -a posto no lixo no seu estúdio , e a vizinha tinha -a levado , porque reconhecera o seu valor	o meu conceito de êxito e de criatividade alteraram -se
Implicit	Expansion.Level-of-detail.Arg2-as-detail	isto é	o meu conceito de êxito e de criatividade alteraram -se	Percebi que o êxito é um momento , mas o que estamos sempre a festejar é a criatividade e a mestria
Explicit	Comparison.Concession.Arg2-as-denier	mas	Percebi que o êxito é um momento	o que estamos sempre a festejar é a criatividade e a mestria
Explicit	Comparison.Concession.Arg2-as-denier	Mas	o que estamos sempre a festejar é a criatividade e a mestria	o problema é este
Implicit	Expansion.Level-of-detail.Arg2-as-detail	isto é	o problema é este	O que é que nos leva a transformar o êxito em mestria
AltLex	Hypophora	O que é que	Há muito que faço a mim mesma esta pergunta	nos leva a transformar o êxito em mestria
Implicit	Expansion.Conjunction	e	Há muito que faço a mim mesma esta pergunta	Acho que ela chega quando começamos a dar valor a_ o dom de uma quase vitória
Explicit	Temporal.Synchronous	quando	ela chega	começamos a dar valor a_ o dom de uma quase vitória
