rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Conjunction	e	Nasci	fui criado
Explicit	Comparison.Concession.Arg2-as-denier	No entanto	Nasci e fui criado na Serra Leoa , um pequeno e lindo país de_ a África Ocidental , um país rico , tanto em recursos físicos quanto em criatividade	a Serra Leoa é tristemente conhecida por 10 anos de guerra na década de 90 em que foram queimadas aldeias inteiras
Implicit	Expansion.Level-of-detail.Arg2-as-detail	especificamente	a Serra Leoa é tristemente conhecida por 10 anos de guerra na década de 90 em que foram queimadas aldeias inteiras	Cerca de 8 000 homens , mulheres e crianças ficaram sem braços e pernas em_ esse período
Explicit	Temporal.Synchronous	Quando	decidi que faria tudo o que pudesse para assegurar que os meus filhos não passassem pelo mesmo tipo de experiência que tivemos	eu e a minha família fugimos de um desses ataques
Implicit	Contingency.Cause.Result	por conseguinte	No entanto , a Serra Leoa é tristemente conhecida por 10 anos de guerra na década de 90 em que foram queimadas aldeias inteiras . Cerca de 8 000 homens , mulheres e crianças ficaram sem braços e pernas em_ esse período	Quando eu e a minha família fugimos de um desses ataques , tinha eu cerca de 12 anos , , decidi que faria tudo o que pudesse para assegurar que os meus filhos não passassem pelo mesmo tipo de experiência que tivemos
Explicit	Contingency.Purpose.Arg2-as-goal	para	faria tudo o que pudesse	assegurar que os meus filhos não passassem pelo mesmo tipo de experiência que tivemos
Explicit	Expansion.Level-of-detail.Arg2-as-detail	Na verdade	faria tudo o que pudesse para assegurar que os meus filhos não passassem pelo mesmo tipo de experiência que tivemos	eles fariam parte de uma Serra Leoa em que a guerra e as amputações deixariam de ser uma estratégia para tomar o poder
Explicit	Temporal.Synchronous	Enquanto	uma coisa que me incomodava profundamente era que muitos desses amputados de_ o país não usavam as suas próteses	eu via pessoas que conhecia , pessoas queridas , a recuperar de_ essa devastação
Explicit	Contingency.Cause.Reason	por	o encaixe de_ as próteses era doloroso	não ser um encaixe perfeito
Explicit	Expansion.Conjunction	e	em que o amputado insere o coto de_ o membro	que liga com a articulação prostética
Implicit	Expansion.Level-of-detail.Arg2-as-detail	e	O encaixe de uma prótese é a parte em que o amputado insere o coto de_ o membro , e que liga com a articulação prostética	Mesmo no mundo desenvolvido , demora um período de três semanas a anos até um paciente ter um encaixe confortável , se é que chega a ter
Explicit	Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct	se é que	demora um período de três semanas a anos até um paciente ter um encaixe confortável	chega a ter
Implicit	Contingency.Cause.Reason	porque	Mesmo no mundo desenvolvido , demora um período de três semanas a anos até um paciente ter um encaixe confortável , se é que chega a ter	Os protésicos ainda usam processos convencionais , como a criação de moldes e gesso , para confecionar encaixes de próteses de um único material
Explicit	Contingency.Purpose.Arg2-as-goal	para	Os protésicos ainda usam processos convencionais , como a criação de moldes e gesso	confecionar encaixes de próteses de um único material
Implicit	Contingency.Cause.Result	por conseguinte	Os protésicos ainda usam processos convencionais , como a criação de moldes e gesso , para confecionar encaixes de próteses de um único material	Esses encaixes provocam uma quantidade intolerável de pressão nos membros de_ os pacientes , deixando -os com escaras e feridas
AltLex	Comparison.Concession.Arg1-as-denier	Não importa	Esses encaixes provocam uma quantidade intolerável de pressão nos membros de_ os pacientes , deixando -os com escaras e feridas	a alta qualidade de uma prótese
Explicit	Contingency.Condition.Arg2-as-cond	Se	não usaremos a perna	o encaixe de_ a nossa prótese for desconfortável
Implicit	Contingency.Cause.Reason	porque	Não importa a alta qualidade de uma prótese	Se o encaixe de_ a nossa prótese for desconfortável , não usaremos a perna
Explicit	Expansion.Conjunction	e	não usaremos a perna	isso é inaceitável nos nossos tempos
Explicit	Temporal.Synchronous	quando	ele perguntou -me se eu sabia como resolver esse problema	conheci o Professor Hugh Herr , há cerca de dois anos e meio
Implicit	Expansion.Conjunction	e	ele perguntou -me se eu sabia como resolver esse problema	"Eu disse : "" Não , ainda não , "" mas gostaria muito de descobrir"
Explicit	Comparison.Concession.Arg2-as-denier	mas	Não , ainda não	gostaria muito de descobrir
Explicit	Contingency.Cause.Result	Então	"Eu disse : "" Não , ainda não , "" mas gostaria muito de descobrir"	para a minha tese de doutoramento no Media Lab de_ a MIT , desenvolvi encaixes de próteses por medida , de forma rápida e barata , que são mais confortáveis que as próteses convencionais
Implicit	Expansion.Level-of-detail.Arg2-as-detail	especificamente	para a minha tese de doutoramento no Media Lab de_ a MIT , desenvolvi encaixes de próteses por medida , de forma rápida e barata , que são mais confortáveis que as próteses convencionais	Usei imagens de ressonância magnética para captar a real anatomia de_ o paciente
Explicit	Contingency.Purpose.Arg2-as-goal	para	Usei imagens de ressonância magnética	captar a real anatomia de_ o paciente
Explicit	Temporal.Asynchronous.Precedence	depois	Usei imagens de ressonância magnética para captar a real anatomia de_ o paciente	usei modelagem por elementos finitos para prever melhor as tensões e os esforços internos sobre as forças normais
Explicit	Contingency.Purpose.Arg2-as-goal	para	usei modelagem por elementos finitos para prever melhor as tensões e os esforços internos sobre as forças normais	depois criar um encaixe de prótese para fabrico
Explicit	Temporal.Asynchronous.Precedence	depois	usei modelagem por elementos finitos para prever melhor as tensões e os esforços internos sobre as forças normais	criar um encaixe de prótese para fabrico
