rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	iki tada		
Implicit	Expansion.Conjunction	ir	﻿Visatoje knibždėte knibžda planetos	Norėčiau, kad kitą dešimtmetį sukurtume tokį teleskopą visatai stebėti, kuris leistų parsisiųsti į Žemę vaizdų ir suprasti, ar žvaigždėje yra gyvybės
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Norėčiau	kitą dešimtmetį sukurtume tokį teleskopą visatai stebėti, kuris leistų parsisiųsti į Žemę vaizdų ir suprasti, ar žvaigždėje yra gyvybės
Implicit	Contingency.Cause.Result	taigi	Norėčiau, kad kitą dešimtmetį sukurtume tokį teleskopą visatai stebėti, kuris leistų parsisiųsti į Žemę vaizdų ir suprasti, ar žvaigždėje yra gyvybės	NASA Reaktyvinio judėjimo laboratorija Prinstone ir aš bendradarbiaujame kurdami technologiją, kuri būtent tai ir sugebės atlikti artimiausiais metais
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Šiandien astronomai mano,	galaktikoje kiekviena žvaigždė turi savo planetą
Explicit	Expansion.Conjunction	ir	Šiandien astronomai mano, kad galaktikoje kiekviena žvaigždė turi savo planetą	jie spėja, kad penktadalis žvaigždžių turi planetą kaip Žemė, kurioje galbūt yra gyvybės, nors tokių dar nesugebėjome pamatyti
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	jie spėja	penktadalis žvaigždžių turi planetą kaip Žemė, kurioje galbūt yra gyvybės, nors tokių dar nesugebėjome pamatyti
Explicit	Comparison.Concession.Arg2-as-denier	nors	jie spėja, kad penktadalis žvaigždžių turi planetą kaip Žemė, kurioje galbūt yra gyvybės	tokių dar nesugebėjome pamatyti
Implicit	Comparison.Concession.Arg2-as-denier	taciau	Šiandien astronomai mano, kad galaktikoje kiekviena žvaigždė turi savo planetą, ir jie spėja, kad penktadalis žvaigždžių turi planetą kaip Žemė, kurioje galbūt yra gyvybės, nors tokių dar nesugebėjome pamatyti	Esame aptikę jas tik netiesiogiai
Explicit	Contingency.Purpose.Arg2-as-goal	kad	Ją padarė erdvėlaivis „Voyager“ 1990 m., apsuktas Saulės sistemos pakraštyje	padarytų Žemės nuotrauką iš šešių milijardų kilometrų nuotolio
Implicit	Comparison.Similarity	panasiai	Ją padarė erdvėlaivis „Voyager“ 1990 m., apsuktas Saulės sistemos pakraštyje, kad padarytų Žemės nuotrauką iš šešių milijardų kilometrų nuotolio	Aš noriu padaryti tokią kitos į Žemę panašios planetos ir kitos žvaigždės nuotrauką
Implicit	Comparison.Concession.Arg2-as-denier	bet	Aš noriu padaryti tokią kitos į Žemę panašios planetos ir kitos žvaigždės nuotrauką	Kodėl dar to nepadarėme
