rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Comparison.Concession.Arg2-as-denier	Deja	﻿Aš gimiau ir užaugau Siera Leonėje, mažoje ir labai gražioje Vakarų Afrikos šalyje, kur gausu tiek gamtinių resursų, tiek kūrybiško talento	Siera Leonė garsi dėl 1990-aisiais vykusio maišto ir karo, kuomet sudegė daug kaimų
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kuomet	Siera Leonė garsi dėl 1990-aisiais vykusio maišto ir karo	sudegė daug kaimų
Implicit	Expansion.Level-of-detail.Arg2-as-detail	ir	Siera Leonė garsi dėl 1990-aisiais vykusio maišto ir karo, kuomet sudegė daug kaimų	Yra paskaičiuota, kad tuomet 8 000 vyrų, moterų ir vaikų neteko kojų ir rankų
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Yra paskaičiuota	tuomet 8 000 vyrų, moterų ir vaikų neteko kojų ir rankų
Explicit	Temporal.Synchronous	Kuomet	aš, būdamas 12, ir mano šeima bėgome gelbėdamiesi nuo užpuolikų	nusprendžiau, kad padarysiu viską, kad mano vaikams netektų patirti to, ką teko patirti man
Implicit	Contingency.Cause.Result	todel	tuomet 8 000 vyrų, moterų ir vaikų neteko kojų ir rankų	Kuomet aš, būdamas 12, ir mano šeima bėgome gelbėdamiesi nuo užpuolikų, nusprendžiau, kad padarysiu viską, kad mano vaikams netektų patirti to, ką teko patirti man
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	nusprendžiau	padarysiu viską, kad mano vaikams netektų patirti to, ką teko patirti man
Implicit	Contingency.Cause.Result	taigi	nusprendžiau, kad padarysiu viską, kad mano vaikams netektų patirti to, ką teko patirti man	Mano vaikai turės gyventi Siera Leonėje, kur nereikės karo ir galūnių amputacijų siekiant valdžios
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kad	Stebėdamas pažįstamus ir mylimus žmones, kurie bandė atsigauti po negandų, labai nerimavau	daugybė žmonių su amputuotomis galūnėmis mano šalyje nesinaudos savo protezais
Explicit	Expansion.Conjunction	O	daugybė žmonių su amputuotomis galūnėmis mano šalyje nesinaudos savo protezais	priežastis, kaip supratau, buvo ta, kad jų protezų jungtys jiems kėlė skausmą, nes netiko jų forma
Explicit	Contingency.Cause.Reason	nes	jų protezų jungtys jiems kėlė skausmą	netiko jų forma
Explicit	Expansion.Conjunction	ir	į kurią dedama likusi galūnės dalis	kuri jungiasi su kulkšnies protezu
Explicit	Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct	Net ir	Protezo jungtis yra ta dalis, į kurią dedama likusi galūnės dalis ir kuri jungiasi su kulkšnies protezu	išsivysčiusiame pasaulyje pacientui užtrunka nuo trijų savaičių iki ištisų metų susirasti patogią jungtį, o kartais ir visai nepavyksta
Explicit	Comparison.Contrast	o	Net ir išsivysčiusiame pasaulyje pacientui užtrunka nuo trijų savaičių iki ištisų metų susirasti patogią jungtį	kartais ir visai nepavyksta
Implicit	Contingency.Cause.Reason	nes	Net ir išsivysčiusiame pasaulyje pacientui užtrunka nuo trijų savaičių iki ištisų metų susirasti patogią jungtį, o kartais ir visai nepavyksta	Protezų gamintojai vis dar naudoja tokius tradicinius metodus kaip formavimas ir liejimas gamindami vienasluoksnes protezų jungtis
Implicit	Contingency.Cause.Result	todel	Protezų gamintojai vis dar naudoja tokius tradicinius metodus kaip formavimas ir liejimas gamindami vienasluoksnes protezų jungtis	Tokios jungtys labai stipriai spaudžia paciento galūnesir palieka nuospaudas ir pūsles
Explicit	Expansion.Conjunction	Ir	Tokios jungtys labai stipriai spaudžia paciento galūnesir palieka nuospaudas ir pūsles	visai nesvarbu, koks galingas yra tavo kulkšnies protezas
Explicit	Contingency.Condition.Arg2-as-cond	Jeigu	koja nesinaudosi	protezo jungtis nepatogi
Implicit	Contingency.Cause.Reason	nes	visai nesvarbu, koks galingas yra tavo kulkšnies protezas	Jeigu protezo jungtis nepatogi, koja nesinaudosi
Explicit	Expansion.Conjunction	O	Jeigu protezo jungtis nepatogi, koja nesinaudosi	šiais laikais tai tiesiog nepriimtina
Explicit	Contingency.Cause+SpeechAct.Result+SpeechAct	Tad	šiais laikais tai tiesiog nepriimtina	vieną dieną, sutikęs profesorių Hugh Herr, prieš dvejus su puse metų, buvau jo paklaustas ar žinau, kaip tai išspręsti
Implicit	Temporal.Synchronous	tuo metu	vieną dieną, sutikęs profesorių Hugh Herr, prieš dvejus su puse metų	buvau jo paklaustas ar žinau
Explicit	Expansion.Level-of-detail.Arg2-as-detail	ar	buvau jo paklaustas	žinau
Explicit	Expansion.Level-of-detail.Arg2-as-detail	kaip	žinau	tai išspręsti
Implicit	Contingency.Cause.Result	taigi	buvau jo paklaustas ar žinau, kaip tai išspręsti	atsakiau
Implicit	Expansion.Manner.Arg2-as-manner	tuo budu	atsakiau	Ne, dar ne, bet norėčiau žinoti
Explicit	Comparison.Concession.Arg2-as-denier	bet	Ne, dar ne	norėčiau žinoti
Explicit	Contingency.Cause+SpeechAct.Result+SpeechAct	Taigi	norėčiau žinoti	rašydamas disertaciją MTI Medijų laboratorijoje (MIT Media Lab) pagal užsakymą sukūriau protezo jungtis greitai ir pigiai
Implicit	Expansion.Conjunction	ir	rašydamas disertaciją MTI Medijų laboratorijoje (MIT Media Lab) pagal užsakymą sukūriau protezo jungtis greitai ir pigiai	Jos daug patogesnės už tradicinių protezų jungtis
Implicit	Contingency.Cause.Reason	nes	Jos daug patogesnės už tradicinių protezų jungtis	Pasitelkiau magnetinio rezonanso tomografiją, kad pamatyčiau, kokia yra paciento anatomija, kad galutinė elemento liejimo forma geriau tiktų vietoms, patirsiančioms spaudimą ir įtampą, dėl natūralaus judėjimo jėgos ir tik tada ėmiausi gaminti jungtį
