rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Comparison.Contrast	a	"
Świat ulega głębokim zmianom"	mnie martwi to, że inwestorzy zwracają zbyt mało uwagi na główne motory tych zmian, a zwłaszcza na zrównoważony rozwój
Implicit	Expansion.Conjunction	i (and)	Przez „zrównoważony rozwój” rozumiem naprawdę istotne kwestie, takie jak czynniki środowiskowe i społeczne oraz ład korporacyjny	Uważam, że ignorowanie tych czynników jest lekkomyślne i może zagrozić długoterminowym zyskom
Explicit	Comparison.Contrast	ale	Być może to, co teraz powiem was zaskoczy	w obecnym układzie sił realny wpływ na zrównoważony rozwój mają inwestorzy instytucjonalni, wielcy inwestorzy tacy jak fundusze emerytalne i różnego typu fundacje
Implicit	Contingency.Cause.Result	więc (so)	Uważam, że zrównoważone inwestowanie jest prostsze niż myślicie, skuteczniejsze niż wam się wydaje i ważniejsze niż moglibyście sobie wyobrazić	Przypomnę wam co już wiemy
Implicit	Expansion.Level-of-detail.Arg2-as-detail	otóż	Przypomnę wam co już wiemy	Nasza populacja rośnie i się starzeje
Implicit	Expansion.Level-of-detail.Arg2-as-detail	czego dowodem jest to, że	Nasza populacja rośnie i się starzeje	Obecnie na Ziemi żyje 7 miliardów ludzi, a pod koniec wieku ta liczba może wzrosnąć do 10 miliardów
Explicit	Comparison.Contrast	a	Obecnie na Ziemi żyje 7 miliardów ludzi	pod koniec wieku ta liczba może wzrosnąć do 10 miliardów
Implicit	Expansion.Level-of-detail.Arg2-as-detail	i (and)	Obecnie na Ziemi żyje 7 miliardów ludzi, a pod koniec wieku ta liczba może wzrosnąć do 10 miliardów	Zużywamy zasoby naturalne szybciej niż te są w stanie się odtwarzać, a emisje gazów odpowiedzialnych za zmianę klimatu wciąż rosną
Explicit	Comparison.Contrast	a	Zużywamy zasoby naturalne szybciej niż te są w stanie się odtwarzać	emisje gazów odpowiedzialnych za zmianę klimatu wciąż rosną
Explicit	Comparison.Contrast	ale	Oczywiście, to są kwestie środowiskowe i społeczne	nie tylko
Implicit	Expansion.Level-of-detail.Arg2-as-detail	ponieważ (because)	Oczywiście, to są kwestie środowiskowe i społeczne, ale nie tylko	Są to też kwestie ekonomiczne, które przekładają się na poziom ryzyka i zysku
Implicit	Expansion.Level-of-detail.Arg2-as-detail	i (and)	Są to też kwestie ekonomiczne, które przekładają się na poziom ryzyka i zysku	To skomplikowane problemy i mogą wydawać się bardzo odległe, więc kusi nas żeby schować głowy w piasek i o nich nie myśleć
Explicit	Expansion.Level-of-detail.Arg2-as-detail	i	To skomplikowane problemy	mogą wydawać się bardzo odległe
Explicit	Contingency.Cause.Result	więc	To skomplikowane problemy i mogą wydawać się bardzo odległe	kusi nas żeby schować głowy w piasek i o nich nie myśleć
Explicit	Contingency.Purpose.Arg2-as-goal	żeby	kusi nas	schować głowy w piasek i o nich nie myśleć
Implicit	Comparison.Contrast	ale	To skomplikowane problemy i mogą wydawać się bardzo odległe, więc kusi nas żeby schować głowy w piasek i o nich nie myśleć	Spróbujcie się przed tym powstrzymać
Implicit	Comparison.Contrast	ale	Spróbujcie się przed tym powstrzymać	Nie próbujcie tego w domu
Implicit	Expansion.Level-of-detail.Arg2-as-detail	więc (so)	Wiemy, że inwestorzy, kiedy przyglądają się jakiejś spółce i decydują, czy chcą w nią zainwestować, patrzą na dane finansowe, wskaźniki takie jak wzrost sprzedaży, przepływy środków pieniężnych, udział w rynku, wycena – no wiecie, to naprawdę ich kręci	Uwzględnieni tych wszystkich kwestii ma oczywiście fundamentalne znaczenie, ale może się okazać niewystarczające
Explicit	Comparison.Contrast	ale	Uwzględnieni tych wszystkich kwestii ma oczywiście fundamentalne znaczenie	może się okazać niewystarczające
